X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
170,Harrow - Marlborough,Marlborough,12259,75.1,78.9,84.3,20.69499959,10.6,62.9,51.6,20.2,Marlborough
171,Havering - Hacton,Hacton,12262,45.4,80.6,85.2,16.58783233,19.7,7.3,7.3,1.7,Hacton
172,Harrow - Harrow on the Hill,Harrow on the Hill,12270,78.4,81.2,84.2,20.81499593,11.7,52.6,44.2,15.1,Harrow on the Hill
173,Hackney - Lordship,Lordship,12280,111.6,75.1,84.8,27.45114007,8.4,30.5,31.4,13.1,Lordship
174,Hounslow - Heston Central,Heston Central,12288,80.8,77.2,83.2,20.84147135,10.9,76.6,54.7,23.9,Heston Central
175,Hounslow - Heston East,Heston East,12319,83.5,85.6,86.2,20.38314798,10.5,77.4,56.5,26.1,Heston East
176,Southwark - East Dulwich,East Dulwich,12321,76.7,81.2,82.9,17.52292833,8.7,28.2,25.9,5.6,East Dulwich
177,Hounslow - Cranford,Cranford,12330,117.4,78.4,86.8,21.37875101,10.1,73.9,56.2,26.5,Cranford
178,Hillingdon - South Ruislip,South Ruislip,12364,82.1,77.6,83.8,20.19572954,12.6,27,23.2,7.7,South Ruislip
179,Camden - Haverstock,Haverstock,12364,65.9,76.7,81.4,19.49207376,11.1,37.1,36.3,10.7,Haverstock
180,Kingston upon Thames - Canbury,Canbury,12373,77.1,77.2,81.6,21.70047684,7.9,21.4,27.5,9.5,Canbury
181,Hackney - Springfield,Springfield,12378,126.5,80.2,84.2,33.18791404,6.9,44.9,39.4,18.2,Springfield
182,Haringey - Crouch End,Crouch End,12395,59.1,78.1,82.3,15.86123437,8.9,18,29.2,7.6,Crouch End
183,Southwark - Village,Village,12402,65.5,77.9,81.6,23.73810676,10.9,20.1,22,3.5,Village
184,Harrow - Greenhill,Greenhill,12420,63.3,76.4,82.1,16.82769726,10.4,58.5,52.7,20.7,Greenhill
185,Hounslow - Heston West,Heston West,12438,87.3,79.7,82.5,22.96993086,10.3,76.2,51.1,23.9,Heston West
186,Hackney - Stoke Newington Central,Stoke Newington Central,12445,50.1,74.9,85.9,15.95821615,7,39.9,36.6,13,Stoke Newington Central
187,Westminster - Hyde Park,Hyde Park,12462,46,87.9,91.3,12.74273792,9.9,44.7,64.2,34.1,Hyde Park
188,Havering - Elm Park,Elm Park,12466,63.2,76.9,84.5,17.92074442,19.4,13.7,10.9,2.1,Elm Park
189,Harrow - Canons,Canons,12471,72.9,81.1,87.2,18.36260123,19.6,48.4,40.1,12.5,Canons
190,Haringey - Fortis Green,Fortis Green,12488,49.2,81.5,87.3,21.27642537,11,20.1,27.5,8.3,Fortis Green
191,Greenwich - Eltham North,Eltham North,12519,57.9,77.9,86,18.6117102,16.6,11.3,13.9,3.4,Eltham North
192,Lambeth - Thornton,Thornton,12526,65.8,79,85.2,20.66102507,7.9,40.5,37,10.1,Thornton
193,Havering - Cranham,Cranham,12528,47,80.8,84.5,17.23339719,23.5,5.6,6,1.1,Cranham
194,Greenwich - Eltham South,Eltham South,12541,61.9,77.4,85.8,16.25867156,15.7,16.8,17.5,4.6,Eltham South
195,Hackney - Hackney Central,Hackney Central,12548,68.7,75,80.3,17.59642971,7.7,52.7,40.5,12.8,Hackney Central
196,Hackney - New River,New River,12551,128.2,79.9,82.8,28.88216078,7.7,39.3,40.2,19.4,New River
197,Westminster - Queen's Park,Queen's Park,12563,83.3,76.8,83.8,21.7702778,9.5,52.6,43.3,15.2,Queen's Park
198,Havering - Heaton,Heaton,12570,61.6,76.7,81,21.92521877,16.8,16.3,13,2.5,Heaton
199,Redbridge - Barkingside,Barkingside,12609,68.7,81,85.7,20.27916568,14.8,64.2,40.5,12.8,Barkingside
200,Waltham Forest - Forest,Forest,12609,99.6,77.9,80.7,19.35918788,9.3,58.7,45.7,18.4,Forest
201,Camden - Camden Town with Primrose Hill,Camden Town with Primrose Hill,12613,56.3,79.6,84.4,15.37302783,11.3,26.4,38.8,12.1,Camden Town with Primrose Hill
202,Hillingdon - Charville,Charville,12622,83.5,81.6,86,22.80145777,12.5,43.9,30.1,9.7,Charville
203,Southwark - South Camberwell,South Camberwell,12629,56.9,76.4,84.6,19.68485232,7.1,44.1,35.8,7.7,South Camberwell
204,Redbridge - Fairlop,Fairlop,12630,89.8,80.2,81.1,20.84718923,13.1,34.9,25.1,8.2,Fairlop
205,Havering - Harold Wood,Harold Wood,12650,60.4,79.8,82.6,17.44664032,17.4,10.1,9.4,2.5,Harold Wood
